Country	City	PM10	Year	Notes	Notes	PM2	Year
Austria	LEOBEN	20	2013	"2 stations, background, urban"	measured data	14	2013
Austria	LIENZ	20	2013	"1 station, traffic, urban"	measured data	15	2013
Austria	LIEZEN	20	2013	"1 station, background, suburban"	measured data	15	2013
Austria	LINZ	26	2013	"3 stations, background, urban"	measured data	17	2013
Austria	LUSTENAU	20	2013	"2 stations, background, urban"	measured data	15	2013
Austria	MöDLING	21	2013	"1 station, background, suburban"	measured data	15	2013
Austria	MüRZZUSCHLAG	17	2013	"1 station, background, suburban"	measured data	13	2013
Austria	SALZBURG	25	2013	"1 station, traffic, urban"	measured data	16	2013
Austria	SANKT ANDRä IM LAVANTTAL	24	2013	"1 station, industrial, urban"	measured data	18	2013
Austria	SANKT POELTEN	24	2013	"1 station, background, suburban"	measured data	18	2013
Austria	SANKT VEIT AN DER GLAN	22	2013	"1 station, background, urban"	measured data	16	2013
Austria	SCHWAZ	20	2013	"1 station, traffic, suburban"	measured data	15	2013
Austria	SCHWECHAT	23	2013	"1 station, traffic, suburban"	measured data	17	2013
Austria	SPITTAL AN DER DRAU	20	2013	"1 station, background, suburban"	measured data	15	2013
Austria	STEYR	20	2013	"1 station, background, suburban"	measured data	15	2013
Austria	STEYREGG	26	2013	"1 station, industrial, suburban"	measured data	19	2013
Austria	STOCKERAU	23	2013	"1 station, traffic, suburban"	measured data	17	2013
Austria	TRAISMAIER	22	2013	"1 station, background, rural-regional"	measured data	16	2013
Austria	TULLN	22	2013	"1 station, background, suburban"	measured data	16	2013
Austria	VILLACH	19	2013	"1 station, traffic, urban"	measured data	14	2013
Austria	VöCKLABRUCK	21	2013	-	converted from PM2.5	15	2013
Austria	WEIZ	26	2013	"1 station, traffic, suburban"	measured data	19	2013
Austria	WELS	23	2013	"1 station, background, urban"	measured data	18	2013
Austria	WIEN	26	2013	"9 stations, traffic, urban"	measured data	18	2013
Austria	WIENER NEUDORF	23	2013	"1 station, traffic, suburban"	measured data	16	2013
Austria	WIENER NEUSTADT	18	2013	"1 station, background, suburban"	measured data	13	2013
Austria	WOLFSBERG	26	2013	"1 station, traffic, urban"	measured data	19	2013
Austria	WöRGL	20	2013	"1 station, traffic, suburban"	measured data	15	2013
Austria	ZELTWEG	21	2013	"1 station, background, suburban"	measured data	16	2013
Bahrain	Hamad Town	318	2012	"1 station, 1 Residential urban station"	measured data	66	2012
Bahrain	Hidd	178	2012	"1 station, 1 Residential urban station"	measured data	41	2012
Bahrain	Ma'ameer	257	2012	"1 station, 1 Residential Industrial station (Mixed)"	measured data	64	2012
Bahrain	Nabih Saleh	244	2012	"1 station, 1 Urban background station"	measured data	58	2012
Bahrain	Ras Hayan	250	2012	"1 station, 1 Rural background station"	measured data	44	2012
Bangladesh	Barisal	142	2014	"1 station, NA"	measured data	85	2014
Bangladesh	Chittagong	135	2014	"2 stations, NA"	measured data	95	2014
Bangladesh	Dhaka	158	2014	"3 stations, NA"	measured data	90	2014
Bangladesh	Gazipur	155	2014	"1 station, NA"	measured data	89	2014
Bangladesh	Khulna	109	2014	"1 station, NA"	measured data	61	2014
Bangladesh	Narayangonj	191	2014	"1 station, NA"	measured data	106	2014
Bangladesh	Rajshahi	64	2014	"1 station, NA"	measured data	37	2014
Bangladesh	Sylhet	170	2014	"1 station, NA"	measured data	61	2014
Belgium	AARSCHOT	23	2013	"1 station, background, suburban"	measured data	16	2013
Belgium	ANDENNE	18	2013	"1 station, background, rural"	measured data	13	2013
Belgium	ANTWERPEN	27	2013	"6 stations, background, urban"	measured data	17	2013
Belgium	BERENDRECHT	26	2013	"1 station, background, suburban"	measured data	17	2013
Belgium	BERTRIX	15	2013	"1 station, background, rural"	measured data	10	2013
Belgium	BOOM	25	2013	"1 station, background, urban"	measured data	17	2013
Belgium	BRUGGE	25	2013	-	converted from PM2.5	17	2013
Belgium	BRUSSELS	26	2013	"6 stations, background, suburban"	measured data	18	2013
Belgium	CHARLEROI	23	2013	"4 stations, background suburban, traffic, urban"	measured data	15	2013
Belgium	CHATELET	21	2013	"1 station, background, suburban"	measured data	14	2013
Belgium	CORROY LE GRAND	20	2013	"1 station, background, rural"	measured data	15	2013
Belgium	DESSEL	22	2013	"1 station, background, rural"	measured data	15	2013
Belgium	DESTELBERGEN	25	2013	"1 station, background, suburban"	measured data	17	2013
Belgium	ENGIS	31	2013	"1 station, industrial, suburban"	measured data	17	2013
Belgium	EVERGEM	30	2013	"1 station, industrial, suburban"	measured data	19	2013
Belgium	GENK	26	2013	"1 station, industrial, urban"	measured data	18	2013
Belgium	GENT	30	2013	"2 stations, background, urban"	measured data	19	2013
Belgium	HABAY LA NEUVE	15	2013	"1 station, background, rural"	measured data	11	2013
Belgium	HASSELT	24	2013	"1 station, background, suburban"	measured data	18	2013
Belgium	HERSTAL	20	2013	"1 station, background, urban"	measured data	13	2013
Belgium	HOBOKEN	28	2013	"1 station, background, suburban"	measured data	19	2013
Belgium	HOEVENEN	26	2013	"1 station, industrial, suburban"	measured data	18	2013
Belgium	LANDEN	23	2013	"1 station, background, rural"	measured data	15	2013
Belgium	LIEGE	22	2013	"3 stations, background, suburban"	measured data	15	2013
Belgium	MECHELEN	25	2013	"1 station, background, suburban"	measured data	17	2013
Belgium	MENEN	27	2013	"1 station, background, suburban"	measured data	18	2013
Belgium	MOERKERKE	24	2013	"1 station, background, rural"	measured data	16	2013
Belgium	MONS	28	2013	"1 station, background, suburban"	measured data	16	2013
Belgium	OOSTROZEBEKE	31	2013	"1 station, industrial, rural"	measured data	21	2013
Belgium	RETIE	22	2013	-	converted from PM2.5	15	2013
Belgium	ROESELAERE	28	2013	"2 stations, background, suburban"	measured data	19	2013
Belgium	SAINTE-ODE	13	2013	"1 station, background, rural"	measured data	9	2013
Belgium	SERAING	25	2013	"1 station, industrial, suburban"	measured data	16	2013
Belgium	SOMME-LEUZE	16	2013	"1 station, background, rural"	measured data	11	2013
Belgium	STEENOKKERZEEL	25	2013	"1 station, background, suburban"	measured data	17	2013
Belgium	TOURNAI	21	2013	"1 station, background, rural"	measured data	14	2013
Belgium	VEURNE	24	2013	"1 station, background, rural"	measured data	16	2013
Belgium	VIELSALM	13	2013	"1 station, background, rural"	measured data	9	2013
Belgium	VILVOORDE	27	2013	"1 station, traffic, suburban"	measured data	18	2013
Belgium	VIROINVAL	15	2013	"1 station, background, rural"	measured data	10	2013
Belgium	ZELZATE	30	2013	"1 station, industrial, suburban"	measured data	20	2013
Belgium	ZWEVEGEM	27	2013	"1 station, background, suburban"	measured data	18	2013
Belgium	ZWIJNDRECHT	29	2013	"1 station, industrial, suburban"	measured data	20	2013
Bhutan	Thimphu	78	2012	"4 stations, Mixed (residential, commercial or both), and Sensitive area (hospitals, schools, or sensitive ecosystem)"	measured data	43	2012
Bolivia	Cochabamba	60	2014	"3 stations, Urban"	measured data	32	2014
Bolivia	La Paz	82	2013	"1 station, Urban"	measured data	44	2013
Bosnia and Herzegovina	SARAJEVO	50	2010	"1 station, background urban"	measured data	30	2010
Bosnia and Herzegovina	TUZLA	106	2010	-	converted from PM2.5	65	2010
Brazil	"Americana, REGIÃO METROPOLITANA DE CAMPINAS"	36	2014	"1 station, NA"	measured data	16	2014
Brazil	"Araçatuba, INTERIOR DO ESTADO"	34	2014	"1 station, NA"	measured data	16	2014
Brazil	"Araraquara, INTERIOR DO ESTADO"	34	2014	"1 station, NA"	measured data	16	2014
Brazil	Araucária	31	2012	"3 stations, commercial and industrial"	measured data	14	2012
Brazil	"Barra Mansa, REGIÃO DO MÉDIO PARAÍBA"	28	2014	"2 stations, NA"	measured data	13	2014
Brazil	"Bauru, INTERIOR DO ESTADO"	29	2014	"1 station, NA"	measured data	13	2014
Brazil	"Campinas, REGIÃO METROPOLITANA DE CAMPINAS"	35	2014	"1 station, NA"	measured data	16	2014
Brazil	"Campos, REGIÃO DO NORTE FLUMINENSE"	26	2014	-	converted from PM2.5	12	2014
Brazil	"Canoas, REGIÃO METROPOLITANA DE PORTO ALEGRE"	29	2014	"1 station, NA"	measured data	13	2014
Brazil	"Cantagalo - Euclidelândia, REGIÃO SUL"	20	2014	"1 station, NA"	measured data	9	2014
Brazil	"Catanduva, INTERIOR DO ESTADO"	41	2014	"1 station, NA"	measured data	19	2014
Brazil	"Charqueadas, REGIÃO METROPOLITANA DE PORTO ALEGRE"	29	2014	"1 station, NA"	measured data	13	2014
Brazil	Colombo	39	2012	"1 station, commercial and industrial"	measured data	18	2012
Brazil	"Cordeirópolis – Módolo, INTERIOR DO ESTADO"	38	2014	"1 station, NA"	measured data	17	2014
Brazil	"Cubatão, REGIÃO METROPOLITANA DA BAIXADA SANTISTA"	69	2014	"3 stations, NA"	measured data	31	2014
Brazil	Curitiba	24	2012	"3 stations, residential (Bairro), commercial, industrial"	measured data	11	2012
Brazil	"Gravataí, REGIÃO METROPOLITANA DE PORTO ALEGRE"	16	2014	"1 station, NA"	measured data	7	2014
Brazil	"Itaboraí , REGIÃO METROPOLITANA DO RIO DE JANEIRO"	46	2014	"2 stations, NA"	measured data	18	2014
Brazil	"Itaguaí, REGIÃO METROPOLITANA DO RIO DE JANEIRO"	31	2014	"2 stations, NA"	measured data	14	2014
Brazil	"Jaboticabal, INTERIOR DO ESTADO"	38	2014	"1 station, NA"	measured data	17	2014
Brazil	"Jacarei, REGIÃO METROPOLITANA DO VALE DO PARAÍBA E LITORAL NORTE"	25	2014	"1 station, NA"	measured data	11	2014
Brazil	"Japeri, REGIÃO METROPOLITANA DO RIO DE JANEIRO"	33	2014	"1 station, NA"	measured data	15	2014
Brazil	"Jaú, INTERIOR DO ESTADO"	25	2014	"1 station, NA"	measured data	11	2014
Brazil	"Jundiaí, INTERIOR DO ESTADO"	30	2014	"1 station, NA"	measured data	14	2014
Brazil	"Limeira – Boa Vista, INTERIOR DO ESTADO"	41	2014	"1 station, NA"	measured data	19	2014
Brazil	"Madre de Deus, REGIÃO METROPOLITANA DE SALVADOR"	12	2014	"1 station, NA"	measured data	5	2014
Brazil	"Malembá, REGIÃO METROPOLITANA DE SALVADOR"	18	2014	"1 station, NA"	measured data	8	2014
Brazil	"Marília, INTERIOR DO ESTADO"	22	2014	"1 station, NA"	measured data	10	2014
Brazil	"Paulínia, REGIÃO METROPOLITANA DE CAMPINAS"	40	2014	"2 stations, NA"	measured data	18	2014
Brazil	"Piracicaba, INTERIOR DO ESTADO"	38	2014	"1 station, NA"	measured data	15	2014
Brazil	"Porto Real, REGIÃO DO MÉDIO PARAÍBA"	17	2014	"1 station, NA"	measured data	8	2014
Brazil	"Presidente Prudente, INTERIOR DO ESTADO"	21	2014	"1 station, NA"	measured data	10	2014
Brazil	"Quatis, REGIÃO DO MÉDIO PARAÍBA"	27	2014	"1 station, NA"	measured data	12	2014
Brazil	REGIÃO METROPOLITANA DE SÃO PAULO	35	2014	"24 stations, NA"	measured data	19	2014
Brazil	REGIÃO METROPOLITANA DO RIO DE JANEIRO	49	2014	"26 stations, NA"	measured data	16	2014
Brazil	"Resende, REGIÃO DO MÉDIO PARAÍBA"	29	2014	"1 station, NA"	measured data	13	2014
Brazil	"Rio Claro, INTERIOR DO ESTADO"	56	2014	"1 station, NA"	measured data	26	2014
Brazil	"Santa Gertrudes – Jd. Luciana, INTERIOR DO ESTADO"	95	2014	"1 station, NA"	measured data	44	2014
Brazil	"Santos, REGIÃO METROPOLITANA DA BAIXADA SANTISTA"	39	2014	"2 stations, NA"	measured data	18	2014
Brazil	"São José do Rio Preto, INTERIOR DO ESTADO"	39	2014	"1 station, NA"	measured data	16	2014
Brazil	"São José dos Campos, REGIÃO METROPOLITANA DO VALE DO PARAÍBA E LITORAL NORTE"	30	2014	"1 station, NA"	measured data	14	2014
Brazil	"Seropédica, REGIÃO METROPOLITANA DO RIO DE JANEIRO"	31	2014	"1 station, NA"	measured data	15	2014
Brazil	"Sorocaba, REGIÃO METROPOLITANA DE SOROCABA"	39	2014	"1 station, NA"	measured data	18	2014
Brazil	"Tatuí, REGIÃO METROPOLITANA DE SOROCABA"	24	2014	"1 station, NA"	measured data	11	2014
Brazil	"Volta Redonda, REGIÃO DO MÉDIO PARAÍBA"	33	2014	"8 stations, background, suburban"	measured data	14	2014
Bulgaria	BLAGOEVGRAD	39	2013	"1 station, industrial, suburban"	measured data	28	2013
Bulgaria	Burgas	36	2013	"3 stations, backgroundm, urban/suburban; industrial, suburban"	measured data	26	2013
Bulgaria	Devnia	27	2013	"1 station, industrial, suburban"	measured data	19	2013
Bulgaria	Dimitrovgad	59	2013	"1 station, background, suburban"	measured data	42	2013
Bulgaria	Dolny Voden	54	2013	"1 station, industrial, urban"	measured data	38	2013
Bulgaria	Galabovo	36	2013	"1 station, background, urban"	measured data	25	2013
Bulgaria	GORNA ORIAHOVICA	43	2013	"1 station, background, urban"	measured data	31	2013
Bulgaria	HASKOVO	46	2013	"1 station, background, urban"	measured data	33	2013
Bulgaria	Kardjaly	40	2013	"1 station, background, urban"	measured data	28	2013
Bulgaria	LOVECH	39	2013	"1 station, background, urban"	measured data	28	2013
Bulgaria	MONTANA	52	2013	"1 station, background, urban"	measured data	37	2013
Bulgaria	Pazarjik	46	2013	"1 station, background, suburban"	measured data	33	2013
Bulgaria	Pernik	47	2013	"2 stations, background, suburban"	measured data	31	2013
Bulgaria	Pirdop	36	2013	"1 station, background, urban"	measured data	26	2013
Bulgaria	Pleven	42	2013	"1 station, traffic, urban"	measured data	30	2013
Bulgaria	Plovdiv	59	2013	"2 stations, background, urban"	measured data	34	2013
Bulgaria	Ruse	47	2013	"1 station, background, urban"	measured data	33	2013
Bulgaria	Shumen	38	2013	"1 station, background, urban"	measured data	27	2013
Bulgaria	SLIVEN	39	2013	"1 station, traffic, urban"	measured data	28	2013
Bulgaria	Smolian	43	2013	"1 station, traffic, urban"	measured data	31	2013
Bulgaria	Sofia	43	2013	"6 stations, background, suburban"	measured data	22	2013
Bulgaria	Stara Zagora	42	2013	"1 station, background, urban"	measured data	13	2013
Bulgaria	Varna	51	2013	"1 station, background, urban"	measured data	36	2013
Bulgaria	Veliko Tarnovo	40	2013	"1 station, background, suburban"	measured data	26	2013
Bulgaria	Vratza	39	2013	"1 station, traffic, urban"	measured data	28	2013
Cameroon	Bafoussam	105	2012	"1 station, commercial/residential"	measured data	67	2012
Cameroon	Bamenda	141	2012	"1 station, residential/commercial"	measured data	132	2012
Cameroon	Yaoudé	65	2012	"1 station, commercial/residential"	measured data	49	2012
Canada	ABBOTSFORD	12	2013	"2 stations, NA"	measured data	7	2013
Canada	AUCLAIR	5	2013	-	converted from PM2.5	3	2013
Canada	AYLESFORD	9	2013	-	converted from PM2.5	5	2013
Canada	BARRIE	12	2013	-	converted from PM2.5	7	2013
Canada	BATHURST	12	2013	-	converted from PM2.5	7	2013
Canada	BEAVERLODGE	14	2013	-	converted from PM2.5	8	2013
Canada	BELLEVILLE	12	2013	-	converted from PM2.5	7	2013
Canada	BRAMPTON	14	2013	-	converted from PM2.5	8	2013
Canada	BRANDON	14	2013	"1 station, NA"	measured data	6	2013
Canada	BRANTFORD	14	2013	-	converted from PM2.5	8	2013
Canada	BRUDERHEIM	17	2013	"1 station, NA"	measured data	10	2013
Canada	BURLINGTON	16	2013	-	converted from PM2.5	9	2013
Canada	BURNABY	10	2013	"1 station, NA"	measured data	6	2013
Canada	CALGARY	11	2013	"1 station, NA"	measured data	9	2013
Canada	CAROLINE	7	2013	-	converted from PM2.5	4	2013
Canada	CASTLEGAR	13	2013	"1 station, NA"	measured data	7	2013
Canada	CHARETTE	14	2013	-	converted from PM2.5	8	2013
Canada	CHATHAM	14	2013	-	converted from PM2.5	8	2013
Canada	CHILLIWACK	12	2013	"1 station, NA"	measured data	6	2013
Canada	COLD LAKE	14	2013	-	converted from PM2.5	8	2013
Canada	CORNER BROOK	11	2013	-	converted from PM2.5	6	2013
Canada	CORNWALL	14	2013	-	converted from PM2.5	8	2013
Canada	COURTENAY	30	2013	-	converted from PM2.5	17	2013
Canada	DARTMOUTH	12	2013	-	converted from PM2.5	7	2013
Canada	DELTA	11	2013	-	converted from PM2.5	6	2013
Canada	DESCHAMBAULT	12	2013	-	converted from PM2.5	7	2013
Canada	DORSET	9	2013	-	converted from PM2.5	5	2013
Canada	DUNCAN	16	2013	-	converted from PM2.5	9	2013
Canada	EDMONTON	15	2013	"2 stations, NA"	measured data	8	2013
Canada	ELK ISLAND	9	2013	-	converted from PM2.5	5	2013
Canada	FERME NEUVE	9	2013	-	converted from PM2.5	5	2013
Canada	FLIN FLON	13	2013	"1 station, NA"	measured data	5	2013
Canada	FORT MACKAY	11	2013	-	converted from PM2.5	6	2013
Canada	FORT MCMURRAY	11	2013	-	converted from PM2.5	7	2013
Canada	FORT SASKATCHEWAN	12	2013	-	converted from PM2.5	7	2013
Canada	FORT ST. JOHN	18	2013	"1 station, NA"	measured data	10	2013
Canada	FREDERICTON	7	2013	-	converted from PM2.5	4	2013
Canada	GATINEAU	16	2013	-	converted from PM2.5	9	2013
Canada	GRAND BEND	12	2013	-	converted from PM2.5	7	2013
Canada	GRAND FALLS - WINDSOR	9	2013	-	converted from PM2.5	5	2013
Canada	GRANDE PRAIRIE	11	2013	-	converted from PM2.5	6	2013
Canada	GUELPH	14	2013	-	converted from PM2.5	8	2013
Canada	HALIFAX	12	2013	"1 station, NA"	measured data	5	2013
Canada	HAMILTON	16	2013	"1 station, NA"	measured data	10	2013
Canada	HOPE	9	2013	"1 station, NA"	measured data	5	2013
Canada	HOUSTON	16	2013	"1 station, NA"	measured data	9	2013
Canada	KAMLOOPS	16	2013	-	converted from PM2.5	9	2013
Canada	KINGSTON	11	2013	-	converted from PM2.5	6	2013
Canada	KITCHENER	15	2013	-	converted from PM2.5	9	2013
Canada	LA DORE	9	2013	-	converted from PM2.5	5	2013
Canada	LA PATRIE	9	2013	-	converted from PM2.5	5	2013
Canada	LA PECHE	9	2013	-	converted from PM2.5	5	2013
Canada	LAC-EDOUARD	7	2013	-	converted from PM2.5	4	2013
Canada	LAMONT	12	2013	-	converted from PM2.5	7	2013
Canada	LANGDALE	10	2013	"1 station, NA"	measured data	6	2013
Canada	LANGLEY	11	2013	"1 station, NA"	measured data	6	2013
Canada	LAVAL	16	2013	-	converted from PM2.5	9	2013
Canada	LEMIEUX	18	2013	-	converted from PM2.5	10	2013
Canada	LONDON	16	2013	-	converted from PM2.5	9	2013
Canada	LONGUEUIL	15	2013	-	converted from PM2.5	9	2013
Canada	MISSISSAUGA	14	2013	-	converted from PM2.5	8	2013
Canada	MONCTON	11	2013	-	converted from PM2.5	6	2013
Canada	MONTREAL	16	2013	"3 stations, NA"	measured data	10	2013
Canada	MORRISBURG	12	2013	-	converted from PM2.5	7	2013
Canada	MOUNT PEARL	11	2013	-	converted from PM2.5	6	2013
Canada	NANAIMO	10	2013	"1 station, NA"	measured data	6	2013
Canada	NELSON	13	2013	"1 station, NA"	measured data	7	2013
Canada	NEWMARKET	12	2013	-	converted from PM2.5	7	2013
Canada	NORMAN WELLS	5	2013	-	converted from PM2.5	3	2013
Canada	NORTH BAY	9	2013	-	converted from PM2.5	5	2013
Canada	NORTH VANCOUVER	10	2013	-	converted from PM2.5	6	2013
Canada	NOTRE-DAME-DU-ROSAIRE	9	2013	-	converted from PM2.5	5	2013
Canada	OAKVILLE	14	2013	-	converted from PM2.5	8	2013
Canada	OSHAWA	12	2013	-	converted from PM2.5	7	2013
Canada	OTTAWA	11	2013	"1 station, NA"	measured data	7	2013
Canada	PARRY SOUND	11	2013	-	converted from PM2.5	6	2013
Canada	PETAWAWA	9	2013	-	converted from PM2.5	5	2013
Canada	PETERBOROUGH	12	2013	-	converted from PM2.5	7	2013
Canada	PICTOU	12	2013	-	converted from PM2.5	7	2013
Canada	PORT ALBERNI	14	2013	-	converted from PM2.5	8	2013
Canada	PORT HAWKESBURY	11	2013	-	converted from PM2.5	6	2013
Canada	PORT MOODY	11	2013	"1 station, NA"	measured data	6	2013
Canada	PORT STANLEY	12	2013	-	converted from PM2.5	7	2013
Canada	POWELL RIVER	7	2013	"1 station, NA"	measured data	4	2013
Canada	PRINCE GEORGE	15	2013	"3 stations, NA"	measured data	9	2013
Canada	QUEBEC	18	2013	"1 station, NA"	measured data	9	2013
Canada	QUESNEL	15	2013	"3 stations, NA"	measured data	9	2013
Canada	REGINA	25	2013	"1 station, NA"	measured data	14	2013
Canada	RICHMOND	12	2013	-	converted from PM2.5	7	2013
Canada	ROUYN-NORANDA	12	2013	-	converted from PM2.5	7	2013
Canada	SAGUENAY	11	2013	-	converted from PM2.5	6	2013
Canada	SAINT JOHN	8	2013	"1 station, NA"	measured data	7	2013
Canada	SAINT-FAUSTIN-LAC-CARRE	9	2013	-	converted from PM2.5	5	2013
Canada	SAINT-JEAN-SUR-RICHELIEU	12	2013	-	converted from PM2.5	7	2013
Canada	SAINT-SIMON	16	2013	-	converted from PM2.5	9	2013
Canada	SAINT-ZEPHIRIN-DE-COURVAL	14	2013	-	converted from PM2.5	8	2013
Canada	SARNIA	14	2013	-	converted from PM2.5	8	2013
Canada	SASKATOON	16	2013	"1 station, NA"	measured data	9	2013
Canada	SAULT STE. MARIE	11	2013	-	converted from PM2.5	6	2013
Canada	SENNETERRE	9	2013	-	converted from PM2.5	5	2013
Canada	SHERBROOKE	14	2013	-	converted from PM2.5	8	2013
Canada	SIMCOE	14	2013	-	converted from PM2.5	8	2013
Canada	ST. ANDREWS	12	2013	-	converted from PM2.5	7	2013
Canada	ST. CATHARINES	14	2013	-	converted from PM2.5	8	2013
Canada	ST. JOHN'S	9	2013	-	converted from PM2.5	5	2013
Canada	ST-HILAIRE-DE-DORSET	7	2013	-	converted from PM2.5	4	2013
Canada	STUKELY-SUD	9	2013	-	converted from PM2.5	5	2013
Canada	SUDBURY	11	2013	-	converted from PM2.5	6	2013
Canada	SURREY	12	2013	-	converted from PM2.5	7	2013
Canada	SYDNEY	11	2013	-	converted from PM2.5	6	2013
Canada	TERRACE	15	2013	"1 station, NA"	measured data	9	2013
Canada	THOMSON	12	2013	"1 station, NA"	measured data	4	2013
Canada	THUNDER BAY	11	2013	-	converted from PM2.5	6	2013
Canada	TINGWICK	12	2013	-	converted from PM2.5	7	2013
